localisation\russian\KR_country_specific\AFG - Afghanistan l_russian.yml

l_russian:

### World Tension ###
 AFG_anglo_afghan_war_threat: "Fifth Anglo-Afghan War"
 AMA_reach_into_the_jungle: "Reach Into the Jungle"
 AMA_reach_into_the_jungle_desc: "The most remote areas of the Amazon lack many basic governmental services. A letter from the border with Peru may take weeks to reach its intended destination! Let us bring these facets of modernity to every patch of rainforest."

 AMA_para_identity: "National Identity"
 AMA_para_identity_desc: "Our people view themselves not as Paránese, but as Brazilian, we must work to change this."

 AMA_higher_learning: "Higher Learning"
 AMA_higher_learning_desc: "Education and the cultivation of human capital drives long-run economic growth. Woefully lacking in universities, we should found a massive central campus to serve as the focal point of any future educational programmes."

 AMA_amapa_belem_railway: "Macapá-Belém Railway"
 AMA_amapa_belem_railway_desc: "Macapá is currently unreachable by rail. By building a railway from the capital, Macapá will surely prosper."

 AMA_belem_manaus_railway: "Belém-Manaos Railway"
 AMA_belem_manaus_railway_desc: "Situated in the centre of the Amazon, despite its considerable population, Manaos is reachable only by riverboat or aircraft, isolating its population. If only our government could lay the foundations for a modern railway network, the city would certainly enter a new golden age."

 AMA_manaus_roraima_railway: "Manaos-Roraima Railway"
 AMA_manaus_roraima_railway_desc: "Situated at the very edge of the country, Roraima is shockingly isolated for a modern city. With the need for the development of a rail system in the Amazon already established, let Roraima be enjoined with the network at last."

 AMA_manaus_rio_branco_railway: "Manaos-Rio Branco Railway"
 AMA_manaus_rio_branco_railway_desc: "Accessible by rail only from territories not under our control, the Rio Branco, and the Acre region with it, is at risk of slipping from our grasp. We cannot allow this fine city to become a hive of scum and villainy, let us connect it to our growing rail network."

 AMA_manaus_fonte_boa_railway: "Manaos-Fonte Boa Railway"
 AMA_manaus_fonte_boa_railway_desc: "Nearly to the Colombian border, any army advancing from the north would surely sweep through Fonte Boa. We must connect this strategically important city to the rail network."

 AMA_port_of_belem: "The Port of Belém"
 AMA_port_of_belem_desc: "Belém is the largest port for many hundreds of miles and the undisputed gateway to the Amazon. Unfortunately, the city lacks sufficient facilities for our warships. We must not allow our nation to so easily be brought to its knees. A great base must be built."

 AMA_new_future: "New Future"
 AMA_new_future_desc: "While consolidating our lands and their bounty is important, we must look to the future as well. New economic opportunities await."

 AMA_arm_our_forces: "Arm our Armies"
 AMA_arm_our_forces_desc: "Our armed forces cannot produce the armaments necessary to supply their swelling ranks. New factories explicitly for military production should be built."

 AMA_mining_processing_construction: "Mining Efforts"
 AMA_mining_processing_construction_desc: "Facilities for processing minerals are as important as the mines themselves. We should invest in the development of facilities sufficient to meet our growing production."

 AMA_estaleiro_manaus: "Manaos Shipyards"
 AMA_estaleiro_manaus_desc: "The Amazon is so great at Manaos that the massive riverboats which connect the Amazon can be built there. We need not import such vessels any longer. Let us fund the construction of specialised shipyards in Manaos."

 AMA_estaleiro_belem: "Belém Shipyards"
 AMA_estaleiro_belem_desc: "Belém is our greatest port and the place where merchant and military ships may be most easily built. We should work with producers to see a new boom in ship production there."

 AMA_arming_industry: "Arms Industry"
 AMA_arming_industry_desc: "We must end our constantly military supply problems once and for all. Funding must be earmarked for a new grand expansion of our domestic arms industry."

 AMA_defense_of_amazon_delta: "Defence of the Amazon Delta"
 AMA_defense_of_amazon_delta_desc: "The long coast of the delta presents a perfect target for a potential invading force. While it may be difficult to man, the entire thing must be fortified."

 AMA_industrial_incentives: "Industrial Incentives"
 AMA_industrial_incentives_desc: "With its shipbuilding industry booming, Manaos must also have industries to support such activity. We must offer financial incentives for local industries involved in such."

 AMA_zona_franca: "Tax Exempt Zones"
 AMA_zona_franca_desc: "To encourage the development of the Amazon further, tax exemptions should be granted to those in key industries in the region."

 AMA_extract_wealth: "Wealth of the Land"
 AMA_extract_wealth_desc: "Vast deposits of gold and other natural resources remain unexploited. We must assess these deposits and begin to export our nation's bounty."

 AMA_garimpo: "Garimpo"
 AMA_garimpo_desc: "Our nation's resource deposits have begun to attract the attention of fortune seekers from around the continent and the world. The gold mines, especially, have swelled with workers and Amazonian sediment is increasingly panned for gold."

 AMA_leite_do_pau: "Novo Ciclo da Borracha"
 AMA_leite_do_pau_desc: "Just a few decades ago, rubber producers set their sights on the Amazon region. With demand for rubber higher than ever, this 'Amazon Rubber Boom' must be replicated. Let us work closely with these producers to see to it."

 AMA_asserting_independence: "Asserting our Independence"
 AMA_asserting_independence_desc: "While we may rely upon foreign powers for protection, we shall not be their simple lapdog. While we seek not to rebel, we must assert our right to forge our own path."

 AMA_armed_forces: "Our Armed Forces"
 AMA_armed_forces_desc: "Brazil's army was forever wracked by corruption and regionalism. Our own must be developed to avoid such trappings."

 AMA_equipment1: "Equipment Renewal"
 AMA_equipment1_desc: "All aspects of our military procurement process lag behind our enemies. We must invest in the total overhaul of the system and acquisition of a range of new equipment."

 AMA_doctrine1: "General Staff"
 AMA_doctrine1_desc: "The development of a modern general staff is key to the success of all other reforms. We must begin to establish this infrastructure."

 AMA_marine_focus: "Tropa Anfíbia"
 AMA_marine_focus_desc: "The environment of our nation has instilled n the population knowledge especially useful to marine units. We should bolster our marines, drawing on this experience."

 AMA_army_modernization: "Army Modernisation"
 AMA_army_modernization_desc: "An entirely new military research system is needed to oversee the total modernisation of our forces. While it may be expensive it is necessary."

 AMA_equipment2: "Better Guns"
 AMA_equipment2_desc: "Without his rifle, a soldier is nothing. The men must be equipped with the best weapons money can buy."

 AMA_doctrine2: "Foreign Officers"
 AMA_doctrine2_desc: "We should hire the best and the brightest from across the globe to assist in the development of our military doctrine."

 AMA_paratrooper_focus: "Above The Jungle"
 AMA_paratrooper_focus_desc: "Paratroopers are a recent innovation and one which has taken the world by storm. We must have parachute units of our own."

 AMA_jungle_skies: "Jungle Skies"
 AMA_jungle_skies_desc: "The dense rainforest is nigh impenetrable at times by land. From the air, however, the land is laid bare. Let us invest in a national air force."

 AMA_rule_skies: "Rule the Air"
 AMA_rule_skies_desc: "Fighter aircraft are the backbone of every air force. Let us begin to catch up with the rest of the world in fighter design."

 AMA_bomber: "Bomber Models"
 AMA_bomber_desc: "Sometimes the best defence is a good offence. If we are ever to truly deter our enemies, we must have bombers capable of striking their towns and cities with devastating effect."

 AMA_CAS: "Close Air Support"
 AMA_CAS_desc: "Recent wars have shown the necessity of direct aerial combat support. An air force meant to keep to its own is doomed to failure. We must have close air support of our own."

 AMA_FAP: "Air Force Reorganisation"
 AMA_FAP_desc: "The legacy of the Brazilian air force and its doctrine impedes the development of our own. We must find our own way."

 AMA_airlifts: "Airlifts"
 AMA_airlifts_desc: "Often, troops operating in remote parts of the Amazon cannot easily be supplied overland. We should construct a new airbase purpose-built for airlifting supplies."

 AMA_long_rage_flights: "Long Range Flights"
 AMA_long_rage_flights_desc: "Not one inch of land nor airspace can be conceded to the enemy. We should research aircraft with the range to make that a reality."

 AMA_green_skies: "Green Below, Blue Above"
 AMA_green_skies_desc: "The mineral-rich waters of the Amazon delta present an extra challenge to any would-be invader. On the approach to our shores, they are sure to be sitting ducks! We must develop naval bombers to exploit this advantage."

### Country Names ###
 AMA: "Amazonas"
 AMA_ADJ: "Amazonian"
 AMA_DEF: "Amazonas"

 AMA_totalist: "Union of Amazonas"
 AMA_totalist_DEF: "the Union of Amazonas"
 AMA_syndicalist: "Union of Amazonas"
 AMA_syndicalist_DEF: "the Union of Amazonas"
 AMA_radical_socialist: "Union of Amazonas"
 AMA_radical_socialist_DEF: "the Union of Amazonas"

